"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","on_base_plus_slg","babip","b_rbi","b_total_bases","r_total_stolen_base","r_run","woba","xwoba","avg_swing_speed","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Freeman, Freddie",518692,2024,638,22,15.7,12.2,"0.854",".306","89","258","9","81",".365",".367","69.8","89.4","14.3",43.1,9.1,41.8,"100.349133067","94.527301044",20.2,49.4
"Mountcastle, Ryan",663624,2024,507,13,22.5,5.3,"0.733",".327","63","201","3","54",".316",".332","75.1","90.8","10.4",36.2,8.8,45.2,"102.105716923","95.370233104",25.1,56.1
"McCutchen, Andrew",457705,2024,515,20,25.8,11.3,"0.739",".283","50","184","3","66",".325",".327","72.7","88.5","14.3",31.9,12,36.9,"99.424962893","93.831123091",28.9,42
"Kwan, Steven",680757,2024,540,14,9.4,9.8,"0.793",".304","44","204","12","83",".349",".333","64.4","86.3","14.9",38.5,2.6,23.7,"95.04543782","91.531639359",8.2,39.1
"Diaz, Yainer",673237,2024,619,16,17.3,3.9,"0.766",".338","84","258","2","70",".329",".339","72.6","90.2","8.9",35,7.6,47.5,"101.297056214","95.034359505",24,58.8
"Happ, Ian",664023,2024,657,25,25.6,12.2,"0.782",".299","86","251","13","89",".341",".345","72.4","90.8","15.1",37,11.7,45.2,"101.590666318","95.287992294",27.9,45.9
"O'Hoppe, Logan",681351,2024,522,20,29.7,6.3,"0.712",".318","56","196","2","64",".311",".331","70.7","90.4","15.3",42.9,12,46.3,"101.233350982","95.0870388",33.6,52
"Varsho, Daulton",662139,2024,513,18,26.7,9.4,"0.700",".262","58","187","10","73",".304",".261","73.7","86.1","24.4",30.2,6.2,34,"98.537583503","93.276618121",27,47.6
"Arcia, Orlando",606115,2024,602,17,21.3,6.8,"0.625",".249","46","195","2","50",".273",".261","70.9","88.2","8.6",29.9,5.3,37.8,"98.41985743","93.283896472",26.6,49.1
"Bell, Josh",605137,2024,603,19,19.9,8.5,"0.724",".286","71","218","0","62",".317",".310","70.4","88.9","10.5",31.4,7.6,40.1,"100.078711292","94.16958744",26.8,48.8
"Castellanos, Nick",592206,2024,659,23,21.1,6.2,"0.742",".294","86","261","6","80",".321",".333","71.9","88.4","15.2",39,8.1,38.2,"99.266703034","93.738511581",30.1,58
"Ramírez, José",608070,2024,682,39,12,7.9,"0.872",".265","118","333","41","114",".364",".329","71.6","89.2","19.6",34,8.6,39.7,"99.642954081","93.982319614",15.2,49.4
"Taveras, Leody",665750,2024,529,12,21.2,7.9,"0.641",".272","44","169","23","59",".282",".295","71.3","89","14.7",31.5,5.9,35.5,"99.173170874","93.650113205",26.2,48.8
"Ward, Taylor",621493,2024,663,25,24.6,9.5,"0.749",".294","75","249","6","73",".325",".344","69.8","90.9","17.4",41.9,13,42.4,"100.017751581","94.464585641",25.5,43.2
