pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,count
CH,2025-07-11,92.9,-0.57,5.65,"Jax, Griffin",665833,643377,field_out,hit_into_play,,,,,13,Oneil Cruz lines out to center fielder Byron Buxton.,R,L,R,MIN,PIT,X,8.0,line_drive,0,1,2025,-0.95,0.34,-0.88,2.03,,,,2,8,Top,102.61,68.74,,,,,1.28078416557254,-135.3093894149774,-4.252114277230351,-11.903421193667771,29.153340897537575,-27.25226304150293,3.86,1.79,328.0,91.6,24.0,93.3,1942,6.4,777148,543877,664034,665019,668904,686797,650489,621439,680577,54.07,0.149,0.179,0.0,1.0,0.0,0.0,3.0,59,2,Changeup,2,1,1,2,1,2,1,2,Infield shade,Standard,231,0.025,-0.215,76.1,8.1,0.284,0.215,91.6,1,-1,0.846,0.154,30,26,31,27,1,3,3.0,2.0,,,2.29,0.95,-0.95,43.0,5.915205569061204,4.709495464569544,31.975433851740338,47.0684763972307,29.03154561083295,0-1
CH,2025-07-11,93.7,-0.6,5.55,"Jax, Griffin",665833,643377,,foul,,,,,7,Oneil Cruz lines out to center fielder Byron Buxton.,R,L,R,MIN,PIT,S,,,0,0,2025,-1.32,-0.01,-0.29,1.86,,,,2,8,Top,,,,,,,3.741463748403701,-136.3706381518187,-3.7411683426423825,-17.2191594941238,32.1451983866103,-31.617877615453896,3.86,1.79,,,,93.6,1874,6.4,777148,543877,664034,665019,668904,686797,650489,621439,680577,54.11,,,,,,,,59,1,Changeup,2,1,1,2,1,2,1,2,Infield shade,Standard,232,0.0,-0.041,81.8,7.8,,0.041,,1,-1,0.846,0.154,30,26,31,27,1,3,3.0,2.0,,,2.62,1.32,-1.32,44.8,11.224899241633093,1.2570283678891958,39.12670703675275,41.3448268310538,27.573406153980528,0-0
SI,2025-07-11,97.4,-0.69,5.51,"Jax, Griffin",693304,643377,field_out,hit_into_play,,,,,5,"Nick Gonzales grounds out, third baseman Royce Lewis to first baseman Ty France.",R,R,R,MIN,PIT,X,5.0,ground_ball,0,0,2025,-1.02,0.68,-0.02,2.62,,,,1,8,Top,91.57,168.71,,,,,4.146758376893321,-141.84693541477924,-3.8210156405436826,-14.788400994616548,32.44720037178518,-22.335235265085924,3.48,1.58,3.0,83.1,-40.0,97.7,2471,6.4,777148,543877,664034,665019,668904,686797,650489,621439,680577,54.11,0.057,0.061,0.0,1.0,0.0,0.0,2.0,58,1,Sinker,2,1,1,2,1,2,1,2,Standard,Standard,203,0.039,-0.256,83.4,7.6,0.057,0.256,88.0,1,-1,0.807,0.193,30,26,31,26,1,3,3.0,2.0,,,1.72,1.02,1.02,39.0,15.27257059879653,-5.829041534001893,27.85709687497418,36.26999663044295,27.66007943877872,0-0
ST,2025-07-11,88.3,-0.6,5.49,"Jax, Griffin",668804,643377,strikeout,swinging_strike,,,,,14,Bryan Reynolds strikes out swinging.,R,L,R,MIN,PIT,S,2.0,,1,2,2025,1.25,-0.2,1.2,1.57,,,,0,8,Top,,,,,,,1.8006599725314614,-128.59779529699225,-3.0261639221495473,13.398762562228852,27.8700972997926,-33.99458631248593,3.26,1.52,,,,88.7,3095,6.6,777148,543877,664034,665019,668904,686797,650489,621439,680577,53.93,,0.0,0.0,1.0,0.0,0.0,,57,4,Sweeper,2,1,1,2,1,2,1,2,Infield shade,Standard,46,0.054,-0.186,73.9,7.4,,0.186,,1,-1,0.753,0.247,30,30,31,30,1,3,3.0,2.0,,,3.13,-1.25,1.25,42.9,16.592531429871702,-15.479610915774169,45.60367662002907,21.821041119156,28.45519615971586,1-2
CH,2025-07-11,92.0,-0.56,5.55,"Jax, Griffin",668804,643377,,foul,,,,,7,Bryan Reynolds strikes out swinging.,R,L,R,MIN,PIT,S,,,1,1,2025,-0.78,0.13,-0.35,1.89,,,,0,8,Top,,,,,,,2.221859568403842,-134.00775669490932,-3.765839919738755,-9.897439950484475,27.170880856899338,-30.082096080674535,3.26,1.52,2.0,70.5,-38.0,92.7,1720,6.5,777148,543877,664034,665019,668904,686797,650489,621439,680577,54.0,,,,,,,,57,3,Changeup,2,1,1,2,1,2,1,2,Infield shade,Standard,224,0.0,-0.056,74.7,6.8,,0.056,88.0,1,-1,0.753,0.247,30,30,31,30,1,3,3.0,2.0,,,2.55,0.78,-0.78,42.1,15.85747202350424,5.3351872473590065,35.283609878418005,41.780263269560976,27.07099009006413,1-1
ST,2025-07-11,87.6,-0.7,5.5,"Jax, Griffin",668804,643377,,ball,,,,,14,Bryan Reynolds strikes out swinging.,R,L,R,MIN,PIT,B,,,0,1,2025,1.0,-0.41,0.93,1.64,,,,0,8,Top,,,,,,,1.8833675514805817,-127.6774610885422,-2.3886939060488563,10.591954594957745,25.551187138607183,-36.383608708833904,3.17,1.45,,,,88.0,3019,6.4,777148,543877,664034,665019,668904,686797,650489,621439,680577,54.12,,,,,,,,57,2,Sweeper,2,1,1,2,1,2,1,2,Infield shade,Standard,48,0.0,0.025,,,,-0.025,,1,-1,0.753,0.247,30,30,31,30,1,3,3.0,2.0,,,3.36,-1.0,1.0,45.2,,,,,,0-1
CH,2025-07-11,92.4,-0.58,5.6,"Jax, Griffin",668804,643377,,swinging_strike,,,,,7,Bryan Reynolds strikes out swinging.,R,L,R,MIN,PIT,S,,,0,0,2025,-1.17,0.07,-0.34,1.64,,,,0,8,Top,,,,,,,3.186799828840406,-134.5757661891211,-4.46695467257455,-14.927938598294654,28.769070164271177,-30.579439964611076,3.26,1.52,,,,92.9,1748,6.5,777148,543877,664034,665019,668904,686797,650489,621439,680577,53.97,,,,,,,,57,1,Changeup,2,1,1,2,1,2,1,2,Infield shade,Standard,227,0.0,-0.037,76.6,7.4,,0.037,,1,-1,0.753,0.247,30,30,31,30,1,3,3.0,2.0,,,2.59,1.17,-1.17,41.8,20.49963660025577,-4.750607923158661,37.18172737334648,41.468057537666304,30.4227581351578,0-0
ST,2025-07-08,88.1,-0.77,5.35,"Jax, Griffin",683737,643377,field_out,hit_into_play,,,,,6,Michael Busch lines out sharply to right fielder Willi Castro.,R,L,R,MIN,CHC,X,9.0,line_drive,1,1,2025,1.41,-0.32,0.49,2.13,,664023.0,663656.0,2,8,Top,194.29,96.72,,,,,0.125501770310885,-128.32035817639778,-1.0333368509529948,15.515848635450062,27.380817177975096,-35.67372545428367,3.31,1.55,304.0,102.2,22.0,88.4,3182,6.5,777190,543877,664034,686797,668904,621043,664056,621439,650489,54.02,0.543,0.769,0.0,1.0,0.0,0.0,6.0,59,3,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,37,0.069,-0.263,,,1.31,0.263,102.2,2,-2,0.873,0.127,30,27,31,28,1,3,2.0,2.0,3.0,1.0,3.26,-1.41,1.41,44.0,,,,,,1-1
ST,2025-07-08,88.0,-0.77,5.43,"Jax, Griffin",683737,643377,,ball,,,,,13,Michael Busch lines out sharply to right fielder Willi Castro.,R,L,R,MIN,CHC,B,,,0,1,2025,0.94,-0.54,-0.09,1.09,,664023.0,663656.0,2,8,Top,,,,,,,-0.3033443597125825,-128.26617311914285,-3.356047405744733,10.50235057103601,26.278243120878628,-37.64822946670309,3.29,1.55,,,,88.4,3133,6.4,777190,543877,664034,686797,668904,621043,664056,621439,650489,54.1,,,,,,,,59,2,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,34,0.0,0.033,,,,-0.033,,2,-2,0.873,0.127,30,27,31,28,1,3,2.0,2.0,3.0,1.0,3.47,-0.94,0.94,44.3,,,,,,0-1
ST,2025-07-08,87.6,-0.77,5.41,"Jax, Griffin",683737,643377,,called_strike,,,,,4,Michael Busch lines out sharply to right fielder Willi Castro.,R,L,R,MIN,CHC,S,,,0,0,2025,1.24,-0.37,-0.38,2.73,,664023.0,663656.0,2,8,Top,,,,,,,-1.6155896839219257,-127.51860432999104,0.4305505653386561,13.79441273582964,27.451721648689052,-36.512429201885,3.31,1.6,,,,87.7,3168,6.4,777190,543877,664034,686797,668904,621043,664056,621439,650489,54.08,,,,,,,,59,1,Sweeper,2,0,0,2,0,2,0,2,Infield shade,Standard,41,0.0,-0.048,,,,0.048,,2,-2,0.873,0.127,30,27,31,28,1,3,2.0,2.0,3.0,1.0,3.35,-1.24,1.24,40.6,,,,,,0-0
