pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,count
FF,2025-07-06,96.8,-2.08,5.49,"Skenes, Paul",677594,694973,strikeout,called_strike,,,,,9,Julio Rodríguez called out on strikes.,R,R,R,SEA,PIT,S,2.0,,3,2,2025,-1.25,1.18,0.52,1.63,,,641487.0,2,5,Bot,,,,,,,9.794693200702229,-140.56612191170106,-7.500596131275017,-18.72903765522183,28.917525083594622,-14.950342356598952,3.15,1.47,,,,97.3,2157,6.5,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.02,,0.0,0.0,1.0,0.0,0.0,,39,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,235,-0.031,-0.319,,,,0.319,,0,0,0.531,0.531,23,24,23,25,3,2,5.0,1.0,,,1.24,1.25,1.25,26.7,,,,,,3-2
CH,2025-07-06,88.8,-2.27,5.63,"Skenes, Paul",677594,694973,,ball,,,,,13,Julio Rodríguez called out on strikes.,R,R,R,SEA,PIT,B,,,2,2,2025,-1.39,0.5,-1.06,1.25,,,641487.0,2,5,Bot,,,,,,,5.848500120493606,-129.19408031946733,-5.774579005173942,-16.762661928677073,23.817573683112677,-25.6668793223394,3.31,1.51,,,,89.1,1940,6.2,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.28,,,,,,,,39,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,261,0.0,0.085,,,,-0.085,,0,0,0.531,0.531,23,24,23,25,3,2,5.0,1.0,,,2.37,1.39,1.39,22.3,,,,,,2-2
SL,2025-07-06,86.3,-2.22,5.47,"Skenes, Paul",677594,694973,,swinging_strike,,,,,5,Julio Rodríguez called out on strikes.,R,R,R,SEA,PIT,S,,,2,1,2025,0.29,0.68,0.2,2.14,,,641487.0,2,5,Bot,,,,,,,5.189762595448391,-125.67065453192453,-3.0956456155766725,1.977840279345373,25.671964528637844,-24.511071957754297,3.38,1.51,,,,86.5,2308,6.4,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.12,,,,,,,,39,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,120,0.0,-0.072,76.0,9.3,,0.072,,0,0,0.531,0.531,23,24,23,25,3,2,5.0,1.0,,,2.37,-0.29,-0.29,24.9,24.974356377297383,-48.7826036454246,29.696020765882285,38.50099304269562,59.32250398785756,2-1
FF,2025-07-06,98.0,-2.13,5.62,"Skenes, Paul",677594,694973,,ball,,,,,11,Julio Rodríguez called out on strikes.,R,R,R,SEA,PIT,B,,,1,1,2025,-1.36,0.97,-1.27,3.63,,,641487.0,2,5,Bot,,,,,,,5.467030842655534,-142.66864527994002,-2.185827671566174,-19.88440047488705,30.412128692112073,-18.527121166211725,3.33,1.51,,,,98.5,2275,6.4,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.13,,,,,,,,39,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,237,0.0,0.05,,,,-0.05,,0,0,0.531,0.531,23,24,23,25,3,2,5.0,1.0,,,1.38,1.36,1.36,26.8,,,,,,1-1
SL,2025-07-06,85.9,-2.2,5.52,"Skenes, Paul",677594,694973,,swinging_strike,,,,,9,Julio Rodríguez called out on strikes.,R,R,R,SEA,PIT,S,,,1,0,2025,-0.02,0.73,0.81,1.5,,,641487.0,2,5,Bot,,,,,,,7.16563951389882,-124.96970792637543,-4.84283648834001,-1.377456191758704,21.189620039329707,-23.73105782914017,3.38,1.51,,,,86.7,2400,6.4,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.06,,,,,,,,39,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,118,0.0,-0.048,73.5,9.4,,0.048,,0,0,0.531,0.531,23,24,23,25,3,2,5.0,1.0,,,2.32,0.02,0.02,22.4,22.17748643078297,-43.58772018510896,31.17135070395977,46.33923054223954,55.17665247785143,1-0
FF,2025-07-06,98.2,-2.15,5.66,"Skenes, Paul",677594,694973,,ball,,,,,11,Julio Rodríguez called out on strikes.,R,R,R,SEA,PIT,B,,,0,0,2025,-1.16,1.13,-1.21,2.87,,,641487.0,2,5,Bot,,,,,,,5.22955836240564,-143.04047098463948,-4.775606257505701,-17.08334314874207,28.508782829960623,-15.751990966708098,3.28,1.51,,,,98.9,2265,6.3,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.19,,,,,,,,39,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,231,0.0,0.034,,,,-0.034,,0,0,0.531,0.531,23,24,23,25,3,2,5.0,1.0,,,1.21,1.16,1.16,27.8,,,,,,0-0
ST,2025-07-06,84.2,-2.39,5.53,"Skenes, Paul",641487,694973,force_out,hit_into_play,,,,,14,"J.P. Crawford grounds into a force out, third baseman Jared Triolo to shortstop Isiah Kiner-Falefa. Dominic Canzone out at 2nd. J.P. Crawford to 1st.",R,L,R,SEA,PIT,X,5.0,ground_ball,0,0,2025,0.94,0.14,0.9,1.96,,,686527.0,1,5,Bot,115.21,176.71,,,,,5.772192912728883,-122.5506596775426,-2.2107980076929445,8.446325621615674,23.093205301134393,-30.57610687799549,3.32,1.55,3.0,28.6,-38.0,84.4,2443,6.3,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.16,0.249,0.219,0.0,1.0,0.0,0.0,1.0,38,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,78,-0.038,-0.314,76.3,7.5,0.249,0.314,88.0,0,0,0.569,0.569,23,30,23,30,3,2,5.0,1.0,,,3.06,-0.94,0.94,25.2,22.10548569234493,-34.380251921048384,33.637329601851214,27.88943949463388,62.11128762384194,0-0
FF,2025-07-06,98.8,-2.26,5.58,"Skenes, Paul",670156,694973,field_out,hit_into_play,,,,,8,Miles Mastrobuoni flies out to left fielder Tommy Pham.,R,L,R,SEA,PIT,X,7.0,fly_ball,3,2,2025,-1.43,0.76,0.06,1.68,,,686527.0,0,5,Bot,80.54,84.16,,,,,9.670458723031572,-143.41193525345906,-6.885978376535762,-22.059974659479156,35.33414529009628,-20.251007295074764,3.12,1.37,339.0,97.1,27.0,98.4,2352,6.4,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.12,0.331,0.501,0.0,1.0,0.0,0.0,5.0,37,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,232,-0.043,-0.351,70.4,6.4,0.899,0.351,97.1,0,0,0.612,0.612,23,29,23,30,2,1,5.0,3.0,,,1.6,1.43,-1.43,27.5,-4.423089279812621,-0.2568498326175185,40.44396297133208,34.86619465925649,32.4458021345817,3-2
CU,2025-07-06,83.2,-2.45,5.51,"Skenes, Paul",670156,694973,,blocked_ball,,,,,14,Miles Mastrobuoni flies out to left fielder Tommy Pham.,R,L,R,SEA,PIT,B,,,2,2,2025,0.58,-0.43,0.51,0.62,,,686527.0,0,5,Bot,,,,,,,5.638901724884084,-121.02448018745378,-3.9242501673771506,4.683416178916792,22.942491364745116,-35.84422304939707,2.97,1.37,,,,83.3,2535,6.3,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.17,,,,,,,,37,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,70,0.0,0.117,,,,-0.117,,0,0,0.612,0.612,23,29,23,30,2,1,5.0,3.0,,,3.72,-0.58,0.58,24.2,,,,,,2-2
FF,2025-07-06,96.7,-2.26,5.76,"Skenes, Paul",670156,694973,,ball,,,,,11,Miles Mastrobuoni flies out to left fielder Tommy Pham.,R,L,R,SEA,PIT,B,,,1,2,2025,-1.16,1.14,-0.58,3.95,,,686527.0,0,5,Bot,,,,,,,7.115922941916885,-140.64261711660092,-1.8817544863066649,-16.977834518364936,31.449191269087173,-16.741354689648514,2.98,1.37,,,,96.7,2170,6.3,777205,680779,687462,693304,669707,643396,502054,665833,668804,54.21,,,,,,,,37,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,230,0.0,0.045,,,,-0.045,,0,0,0.612,0.612,23,29,23,30,2,1,5.0,3.0,,,1.29,1.16,-1.16,25.1,,,,,,1-2
